date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
16/06/25	11	NW	MIXR	NW_MIXR	1	450.688317	275.8464481
16/06/25	11	NW	MIXR	NW_MIXR	2	500.1312468	205.4175677
16/06/25	11	NW	MIXR	NW_MIXR	3	572.9287358	286.7461558
16/06/25	11	NW	MIXR	NW_MIXR	4	483.7283791	211.0071614
16/06/25	11	NW	MIXR	NW_MIXR	5	436.0819539	249.2958781
16/06/25	11	NW	MIXR	NW_MIXR	6	495.600931	278.3617653
16/06/25	11	NW	MIXR	NW_MIXR	7	387.4201131	221.3479097
16/06/25	11	NW	MIXR	NW_MIXR	8	475.2256681	246.8604123
17/06/25	12	NW	MIXR	NW_MIXR	1	581.8331497	278.3617653
17/06/25	12	NW	MIXR	NW_MIXR	2	722.6634851	308.5455711
17/06/25	12	NW	MIXR	NW_MIXR	3	587.3007722	279.2002043
17/06/25	12	NW	MIXR	NW_MIXR	4	829.5945607	278.6412449
17/06/25	12	NW	MIXR	NW_MIXR	5	530.9061509	264.6672607
17/06/25	12	NW	MIXR	NW_MIXR	6	558.1661549	273.331131
17/06/25	12	NW	MIXR	NW_MIXR	7	596.1270772	211.2866411
17/06/25	12	NW	MIXR	NW_MIXR	8	741.2534019	280.8770824
18/06/25	13	NW	MIXR	NW_MIXR	1	783.9008579	290.099912
18/06/25	13	NW	MIXR	NW_MIXR	2	851.6212688	312.178807
18/06/25	13	NW	MIXR	NW_MIXR	3	661.5042213	280.5976027
18/06/25	13	NW	MIXR	NW_MIXR	4	1066.342618	289.8204323
18/06/25	13	NW	MIXR	NW_MIXR	5	597.6892551	269.4184154
18/06/25	13	NW	MIXR	NW_MIXR	6	652.7560252	279.7591637
18/06/25	13	NW	MIXR	NW_MIXR	7	669.080784	227.7759425
18/06/25	13	NW	MIXR	NW_MIXR	8	824.5174826	286.4666761
19/06/25	14	NW	MIXR	NW_MIXR	1	833.6952777	295.410026
19/06/25	14	NW	MIXR	NW_MIXR	2	797.2965332	270.2568545
19/06/25	14	NW	MIXR	NW_MIXR	3	888.7229935	279.3399442
19/06/25	14	NW	MIXR	NW_MIXR	4	794.2502863	284.6500582
19/06/25	14	NW	MIXR	NW_MIXR	5	988.1556153	298.2048229
19/06/25	14	NW	MIXR	NW_MIXR	6	693.9584667	250.8330164
19/06/25	14	NW	MIXR	NW_MIXR	7	976.439281	293.8728878
19/06/25	14	NW	MIXR	NW_MIXR	8	756.8751806	279.479684
20/06/25	15	NW	MIXR	NW_MIXR	1	815.7692865	278.6412449
20/06/25	15	NW	MIXR	NW_MIXR	2	711.1033689	268.859456
20/06/25	15	NW	MIXR	NW_MIXR	3	935.7445473	289.5409526
