date	n_day	regime	inoculant	treatment	shoot_side_area	shoot_height	shootA_rootA
17/06/25	7	WW	MIXR	WW_MIXR	464.7911691	114.6213051	0.786040329
17/06/25	7	WW	MIXR	WW_MIXR	432.7249337	105.7696598	0.605862133
17/06/25	7	WW	MIXR	WW_MIXR	419.7043722	150.7780257	1.247921541
17/06/25	7	NW	NOI	NW_NOI	292.4323329	112.6709426	1.920486965
17/06/25	7	NW	NOI	NW_NOI	357.7382339	116.8717234	1.118026955
17/06/25	7	NW	NOI	NW_NOI	281.7134998	114.3212493	1.369890954
17/06/25	7	NW	NOI	NW_NOI	302.6095828	99.61851646	1.783789968
17/06/25	7	NW	NOI	NW_NOI	343.3637146	129.9241495	1.639141885
17/06/25	7	NW	NOI	NW_NOI	407.0223002	128.7239264	0.623098745
17/06/25	7	NW	MIX1	NW_MIX1	435.703641	126.623536	1.073372489
17/06/25	7	NW	MIX1	NW_MIX1	327.8383311	134.5750139	1.60300553
17/06/25	7	NW	MIX1	NW_MIX1	379.0856363	127.6737312	1.704944303
17/06/25	7	NW	MIX1	NW_MIX1	428.8887197	116.1215839	1.022147462
17/06/25	7	NW	MIX1	NW_MIX1	331.0878299	132.1745678	1.885615341
17/06/25	7	NW	MIX1	NW_MIX1	393.0314023	98.56832125	1.395839058
17/06/25	7	NW	MIXR	NW_MIXR	300.0370629	84.61572783	0.686304462
17/06/25	7	NW	MIXR	NW_MIXR	296.2234149	114.0211935	2.048281783
17/06/25	7	NW	MIXR	NW_MIXR	269.0765597	87.46625767	1.723469053
17/06/25	7	NW	MIXR	NW_MIXR	340.3624413	104.7194646	1.999704152
17/06/25	7	NW	MIXR	NW_MIXR	315.5850124	112.3708868	1.400416901
17/06/25	7	NW	MIXR	NW_MIXR	426.4741615	115.0713887	1.33568676
18/06/25	8	WW	NOI	WW_NOI	671.5631011	146.8773006	0.472511363
18/06/25	8	WW	NOI	WW_NOI	414.8526899	115.0713887	0.879626632
18/06/25	8	WW	NOI	WW_NOI	563.9460168	142.8265477	0.598375067
18/06/25	8	WW	NOI	WW_NOI	614.4260792	135.0250976	0.618336346
18/06/25	8	WW	NOI	WW_NOI	582.6080693	144.1767987	0.646213066
18/06/25	8	WW	NOI	WW_NOI	244.9084118	38.1070831	3.106386706
18/06/25	8	WW	MIX1	WW_MIX1	759.75089	148.6776353	0.621756052
18/06/25	8	WW	MIX1	WW_MIX1	528.6302825	156.6291132	0.861096262
18/06/25	8	WW	MIX1	WW_MIX1	602.1727605	128.1238148	0.852612506
18/06/25	8	WW	MIX1	WW_MIX1	840.6950044	164.880647	0.467475005
18/06/25	8	WW	MIX1	WW_MIX1	667.7043212	147.4774122	0.503384242
18/06/25	8	WW	MIX1	WW_MIX1	727.8200504	151.5281651	0.613675033
18/06/25	8	WW	MIXR	WW_MIXR	728.3390676	135.0250976	0.244334535
18/06/25	8	WW	MIXR	WW_MIXR	605.9638425	146.427217	0.45177304
18/06/25	8	WW	MIXR	WW_MIXR	417.6057375	112.5209147	0.845117407
18/06/25	8	WW	MIXR	WW_MIXR	550.6997957	120.6224205	0.740870802
18/06/25	8	WW	MIXR	WW_MIXR	490.5163686	110.5705522	0.627400725
18/06/25	8	WW	MIXR	WW_MIXR	485.6646862	155.4288901	1.19493576
18/06/25	8	NW	NOI	NW_NOI	354.2405094	104.119353	1.780178062
18/06/25	8	NW	NOI	NW_NOI	404.4046483	119.7222532	1.129210555
18/06/25	8	NW	NOI	NW_NOI	389.7819034	119.5722253	1.185384976
18/06/25	8	NW	NOI	NW_NOI	431.1678821	115.2214166	1.416601893
18/06/25	8	NW	NOI	NW_NOI	455.4037279	139.82599	1.355518532
18/06/25	8	NW	NOI	NW_NOI	521.2060802	135.0250976	0.570648039
18/06/25	8	NW	MIX1	NW_MIX1	524.5909748	133.0747351	0.983216946
18/06/25	8	NW	MIX1	NW_MIX1	480.4068165	139.6759621	1.175152696
18/06/25	8	NW	MIX1	NW_MIX1	498.0082687	133.8248745	1.424869674
18/06/25	8	NW	MIX1	NW_MIX1	514.2106312	117.4718349	0.954990602
18/06/25	8	NW	MIX1	NW_MIX1	418.553508	130.8243168	1.706695296
18/06/25	8	NW	MIX1	NW_MIX1	461.1806148	100.6687117	1.343163203
18/06/25	8	NW	MIXR	NW_MIXR	381.3873646	122.4227552	0.6409765
18/06/25	8	NW	MIXR	NW_MIXR	422.1414964	114.6213051	1.545312904
18/06/25	8	NW	MIXR	NW_MIXR	269.5730109	91.66703849	1.781220787
18/06/25	8	NW	MIXR	NW_MIXR	434.4625129	113.1210262	1.730161946
18/06/25	8	NW	MIXR	NW_MIXR	422.2543262	134.8750697	1.157327647
18/06/25	8	NW	MIXR	NW_MIXR	512.6310137	116.2716118	1.243058168
19/06/25	9	WW	NOI	WW_NOI	780.2633517	193.5359732	0.419067606
19/06/25	9	WW	NOI	WW_NOI	493.3596801	126.623536	0.801436832
19/06/25	9	WW	NOI	WW_NOI	699.6802927	169.9815951	0.503703953
19/06/25	9	WW	NOI	WW_NOI	648.4781195	160.5298383	0.634856435
19/06/25	9	WW	NOI	WW_NOI	766.746339	186.9347462	0.543410482
19/06/25	9	WW	NOI	WW_NOI	289.6567193	30.60568879	2.700968608
19/06/25	9	WW	MIX1	WW_MIX1	847.4647937	191.8856665	0.597667248
19/06/25	9	WW	MIX1	WW_MIX1	675.7378045	156.0290017	0.701174538
19/06/25	9	WW	MIX1	WW_MIX1	697.3334325	176.4327942	0.762984523
19/06/25	9	WW	MIX1	WW_MIX1	928.6796997	188.585053	0.464017117
19/06/25	9	WW	MIX1	WW_MIX1	740.4795564	175.5326269	0.478936102
19/06/25	9	WW	MIX1	WW_MIX1	789.9892824	178.9832683	0.585002422
19/06/25	9	WW	MIXR	WW_MIXR	811.7203061	186.4846626	0.263740137
19/06/25	9	WW	MIXR	WW_MIXR	697.8750156	170.131623	0.407981959
19/06/25	9	WW	MIXR	WW_MIXR	590.1451015	151.3781372	0.683043759
19/06/25	9	WW	MIXR	WW_MIXR	669.2388067	170.2816509	0.657638246
19/06/25	9	WW	MIXR	WW_MIXR	680.499223	168.0312326	0.528622085
19/06/25	9	WW	MIXR	WW_MIXR	444.4818011	145.9771333	1.446198339
19/06/25	9	NW	NOI	NW_NOI	391.4743507	115.3714445	1.81096586
19/06/25	9	NW	NOI	NW_NOI	461.6319341	128.5738985	1.11517077
19/06/25	9	NW	NOI	NW_NOI	480.2262888	152.5783603	1.11171582
19/06/25	9	NW	NOI	NW_NOI	594.274673	163.2303402	1.146965393
19/06/25	9	NW	NOI	NW_NOI	457.5023626	138.9258226	1.45566197
19/06/25	9	NW	NOI	NW_NOI	537.6115363	125.5733408	0.60908521
19/06/25	9	NW	MIX1	NW_MIX1	542.9371039	124.2230898	1.000937365
19/06/25	9	NW	MIX1	NW_MIX1	549.4586676	144.7769102	1.133329679
19/06/25	9	NW	MIX1	NW_MIX1	431.867427	142.2264361	1.76988645
19/06/25	9	NW	MIX1	NW_MIX1	586.1960577	161.1299498	0.931797234
19/06/25	9	NW	MIX1	NW_MIX1	510.6677748	151.678193	1.549133051
19/06/25	9	NW	MIX1	NW_MIX1	517.0990746	126.3234802	1.346739828
19/06/25	9	NW	MIXR	NW_MIXR	485.4390266	150.0278862	0.597531314
19/06/25	9	NW	MIXR	NW_MIXR	557.0408317	146.5772448	1.234042793
19/06/25	9	NW	MIXR	NW_MIXR	411.625757	138.9258226	1.262746378
19/06/25	9	NW	MIXR	NW_MIXR	494.8264678	147.7774679	1.616334198
19/06/25	9	NW	MIXR	NW_MIXR	274.9211445	98.56832125	1.946556516
19/06/25	9	NW	MIXR	NW_MIXR	685.3509053	157.5292805	1.011394226
20/06/25	10	WW	NOI	WW_NOI	876.3492282	234.9436698	0.379945436
20/06/25	10	WW	NOI	WW_NOI	533.4819648	160.2297825	0.807097897
20/06/25	10	WW	NOI	WW_NOI	849.3829007	201.6374791	0.455252872
20/06/25	10	WW	NOI	WW_NOI	766.2273218	199.6871166	0.583508467
20/06/25	10	WW	NOI	WW_NOI	917.9383006	220.6910206	0.505571262
20/06/25	10	WW	NOI	WW_NOI	257.6807477	42.4578918	3.075397557
20/06/25	10	WW	MIX1	WW_MIX1	977.5350126	231.0429448	0.55773098
20/06/25	10	WW	MIX1	WW_MIX1	794.0962879	194.5861684	0.637441409
20/06/25	10	WW	MIX1	WW_MIX1	819.0316786	247.5460123	0.688306861
20/06/25	10	WW	MIX1	WW_MIX1	1064.684767	243.0451757	0.470831745
20/06/25	10	WW	MIX1	WW_MIX1	884.8791627	287.6034579	0.436344136
20/06/25	10	WW	MIX1	WW_MIX1	906.880978	222.6413832	0.555168819
20/06/25	10	WW	MIXR	WW_MIXR	874.0023679	221.4411601	0.278169654
20/06/25	10	WW	MIXR	WW_MIXR	771.1241361	190.2353597	0.4043714
20/06/25	10	WW	MIXR	WW_MIXR	548.8042546	231.9431121	0.831527635
20/06/25	10	WW	MIXR	WW_MIXR	691.7145073	185.4344674	0.690130403
20/06/25	10	WW	MIXR	WW_MIXR	815.1277667	203.5878416	0.474240955
20/06/25	10	WW	MIXR	WW_MIXR	764.6477043	202.0875628	0.90281851
20/06/25	10	NW	NOI	NW_NOI	448.5211088	153.3284997	1.769056177
20/06/25	10	NW	NOI	NW_NOI	565.096881	184.2342443	1.005178804
20/06/25	10	NW	NOI	NW_NOI	602.3307222	192.1857223	1.041964587
20/06/25	10	NW	NOI	NW_NOI	655.5638323	187.6848857	1.168769269
20/06/25	10	NW	NOI	NW_NOI	530.0293723	148.6776353	1.349435729
20/06/25	10	NW	NOI	NW_NOI	645.0480929	182.4339097	0.5629967
20/06/25	10	NW	MIX1	NW_MIX1	643.1525519	172.2320134	0.881609038
20/06/25	10	NW	MIX1	NW_MIX1	647.7334427	191.1355271	1.091090832
20/06/25	10	NW	MIX1	NW_MIX1	561.6442884	193.836029	1.462615142
20/06/25	10	NW	MIX1	NW_MIX1	642.7914965	181.0836587	0.944454196
20/06/25	10	NW	MIX1	NW_MIX1	591.0026081	182.1338539	1.502747071
20/06/25	10	NW	MIX1	NW_MIX1	604.6550166	164.2805354	1.29715338
20/06/25	10	NW	MIXR	NW_MIXR	559.6584835	186.1846068	0.618898707
20/06/25	10	NW	MIXR	NW_MIXR	683.026611	192.485778	1.040766567
20/06/25	10	NW	MIXR	NW_MIXR	496.2706895	177.7830452	1.109916942
20/06/25	10	NW	MIXR	NW_MIXR	603.752378	235.993865	1.357138857
20/06/25	10	NW	MIXR	NW_MIXR	333.570086	130.0741774	1.689021425
20/06/25	10	NW	MIXR	NW_MIXR	799.1510639	198.6369214	0.898417613
21/06/25	11	WW	NOI	WW_NOI	928.8150955	254.7473508	0.364055713
21/06/25	11	WW	NOI	WW_NOI	631.1925907	177.4829894	0.714728509
21/06/25	11	WW	NOI	WW_NOI	910.1304769	203.137758	0.453170995
21/06/25	11	WW	NOI	WW_NOI	861.0269383	219.4907976	0.550828624
21/06/25	11	WW	NOI	WW_NOI	968.7342865	247.2459565	0.496257053
21/06/25	11	WW	NOI	WW_NOI	410.316931	49.95928611	1.973640091
